"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNO";"POPULARITY";"SPICEPREFIX";
"1";"";"NUCLEO-L452RE";"NUCLEO-64";"M1";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";"";"";"";"";
"7";"0 0805";"R-US_M0805";"M0805";"R1, R2, R3, R4, R5, R6, R7";"RESISTOR, American symbol";"";"";"";"";"RMCF0805ZT0R00";"45";"R";
"1";"0.01uF 0805";"C-USC0805";"C0805";"C7";"CAPACITOR, American symbol";"";"";"";"";"GRM2195C1H103JA01D";"63";"C";
"3";"0.1uF 0805";"C-USC0805";"C0805";"C1, C2, C3";"CAPACITOR, American symbol";"";"";"";"";"GRM188R72A104KA35J";"63";"C";
"1";"1.2pF 0805";"C-USC0805";"C0805";"C10";"CAPACITOR, American symbol";"";"";"";"";"GQM2195C2E1R2BB12D";"63";"C";
"2";"1.8pF 0805";"C-USC0805";"C0805";"C8, C9";"CAPACITOR, American symbol";"";"";"";"";"600F180FT250XT";"63";"C";
"1";"10 0805";"R-US_M0805";"M0805";"R15";"RESISTOR, American symbol";"";"";"";"";"RC0805FR-0710RL";"45";"R";
"1";"10k 0805";"R-US_M0805";"M0805";"R14";"RESISTOR, American symbol";"";"";"";"";"RC0805FR-1010KL";"45";"R";
"6";"130 0805";"R-US_M0805";"M0805";"R8, R9, R10, R11, R12, R13";"RESISTOR, American symbol";"";"";"";"";"RMCF0805FT130R";"45";"R";
"1";"1k 0805";"R-US_M0805";"M0805";"R16";"RESISTOR, American symbol";"";"";"";"";"RMCF0805FT1K00";"45";"R";
"1";"1uF 0805";"C-USC0805";"C0805";"C4";"CAPACITOR, American symbol";"";"";"";"";"GRM188R72A104KA35J";"63";"C";
"2";"2.2uF 0805";"C-USC0805";"C0805";"C5, C6";"CAPACITOR, American symbol";"";"";"";"";"GRM21BR71E225KE11L";"63";"C";
"1";"8 MHz";"CRYSTALSM49";"SM49";"Q1";"CRYSTAL";"";"";"unknown";"unknown";"ABLS-8.000MHZ-B4-T";"3";"";
"1";"AFE4400RHAR";"AFE4400";"40-VQFN(6X6)";"U$1";"";"";"";"";"";"";"";"";
"1";"BP104";"BP104";"BP104";"D2";"PHOTO DIODE";"VISHAY/TELEFUNKEN";"BP104";"1779636";"14M4504";"VEMD2020X01";"0";"";
"1";"LAP4-TOP";"LAP4-TOP";"P47F-TOP";"LED1";"PointLED® Enhanced Thinfilm LED TOP & BOTTOM mount";"";"";"";"";"HLMP-K150";"0";"";
"1";"SFH482";"SFH482";"SFH482";"D1";"IR LED";"";"";"";"";"SCM-013RT";"0";"";
